[2026-04-30 11:12:21] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
JGD_Homology | ch7-6-b4 | 15120 | 12608 | 256 | 75600 | 945 | 3780 | 0.08 | 213.104263
JGD_Homology | ch7-6-b5 | 5040 | 15120 | 256 | 30240 | 315 | 1758 | 0.07 | 108.282166
JGD_Homology | ch7-7-b1 | 896 | 64 | 256 | 1764 | 56 | 102 | 0.07 | 12.580252
JGD_Homology | ch7-7-b2 | 7360 | 896 | 256 | 22050 | 460 | 1140 | 0.08 | 81.081619
JGD_Homology | ch7-7-b5 | 35280 | 52928 | 256 | 211680 | 2205 | 11025 | 0.07 | 294.305878
JGD_Homology | ch7-8-b1 | 1184 | 64 | 256 | 2352 | 74 | 141 | 0.07 | 14.560291
JGD_Homology | ch7-8-b2 | 11760 | 1184 | 256 | 35280 | 735 | 1911 | 0.07 | 125.202507
JGD_Homology | ch7-8-b3 | 58800 | 11760 | 256 | 235200 | 3675 | 11670 | 0.08 | 338.406769
JGD_Homology | ch7-8-b4 | 141120 | 58800 | 256 | 705600 | 8820 | 35385 | 0.08 | 939.818787
JGD_Homology | ch7-9-b1 | 1520 | 64 | 256 | 3024 | 95 | 182 | 0.06 | 15.440309
JGD_Homology | ch7-9-b2 | 17648 | 1520 | 256 | 52920 | 1103 | 3036 | 0.07 | 183.103668
JGD_Homology | ch7-9-b3 | 105840 | 17648 | 256 | 423360 | 6615 | 21842 | 0.08 | 629.492615
JGD_Homology | ch8-8-b1 | 1568 | 64 | 256 | 3136 | 98 | 189 | 0.06 | 17.000340
JGD_Homology | ch8-8-b2 | 18816 | 1568 | 256 | 56448 | 1176 | 3167 | 0.07 | 192.743851
JGD_Homology | ch8-8-b3 | 117600 | 18816 | 256 | 470400 | 7350 | 24421 | 0.08 | 703.914062
JGD_Homology | cis-n4c6-b1 | 224 | 32 | 256 | 420 | 14 | 20 | 0.08 | 7.800156
JGD_Homology | cis-n4c6-b13 | 6304 | 25616 | 256 | 88200 | 394 | 4954 | 0.07 | 284.185669
JGD_Homology | cis-n4c6-b14 | 928 | 6304 | 256 | 13800 | 58 | 777 | 0.07 | 59.681194
JGD_Homology | cis-n4c6-b15 | 64 | 928 | 256 | 960 | 4 | 60 | 0.06 | 23.740475
JGD_Homology | cis-n4c6-b2 | 1344 | 224 | 256 | 3990 | 84 | 180 | 0.09 | 20.440409
JGD_Homology | cis-n4c6-b3 | 5984 | 1344 | 256 | 23880 | 374 | 1126 | 0.08 | 73.981476
JGD_Homology | cis-n4c6-b4 | 20064 | 5984 | 256 | 100290 | 1254 | 4972 | 0.08 | 286.885742
JGD_Homology | klein-b1 | 32 | 16 | 256 | 60 | 2 | 2 | 0.12 | 9.640193
JGD_Homology | klein-b2 | 32 | 32 | 256 | 60 | 2 | 3 | 0.08 | 10.460209
JGD_Homology | lutz30-23-b6 | 1728 | 3008 | 256 | 12012 | 108 | 640 | 0.07 | 43.980881
JGD_Homology | mk10-b1 | 640 | 48 | 256 | 1260 | 40 | 73 | 0.07 | 10.260205
JGD_Homology | mk10-b2 | 3152 | 640 | 256 | 9450 | 197 | 417 | 0.09 | 32.380646
JGD_Homology | mk10-b3 | 4736 | 3152 | 256 | 18900 | 296 | 896 | 0.08 | 60.361206
JGD_Homology | mk10-b4 | 960 | 4736 | 256 | 4725 | 60 | 296 | 0.06 | 24.220484
JGD_Homology | mk11-b1 | 992 | 64 | 256 | 1980 | 62 | 117 | 0.07 | 12.860257
JGD_Homology | mk11-b2 | 6944 | 992 | 256 | 20790 | 434 | 1042 | 0.08 | 73.701477
JGD_Homology | mk11-b3 | 17328 | 6944 | 256 | 69300 | 1083 | 3289 | 0.08 | 186.503723
JGD_Homology | mk11-b4 | 10400 | 17328 | 256 | 51975 | 650 | 2770 | 0.07 | 165.923325
JGD_Homology | mk11-b4b | 9456 | 17328 | 256 | 47250 | 591 | 2529 | 0.07 | 151.203018
JGD_Homology | mk12-b1 | 1488 | 80 | 256 | 2970 | 93 | 181 | 0.06 | 15.660314
JGD_Homology | mk12-b2 | 13872 | 1488 | 256 | 41580 | 867 | 2275 | 0.07 | 144.982895
JGD_Homology | mk12-b3 | 51984 | 13872 | 256 | 207900 | 3249 | 10005 | 0.08 | 274.785492
JGD_Homology | mk12-b4 | 62384 | 51984 | 256 | 311850 | 3899 | 15641 | 0.08 | 423.388458
JGD_Homology | mk12-b5 | 10400 | 62384 | 256 | 62370 | 650 | 3899 | 0.06 | 220.324402
JGD_Homology | mk9-b1 | 384 | 48 | 256 | 756 | 24 | 39 | 0.08 | 8.060162
